Mounth;T;Salinity;pH;O2;H2O_O;Chem_O2;N;NN;NHN;F;BP;BE
7;0.791891891891892;0.475;0.666423357664233;0.241280353200883;0.450404312668464;0.237931034482759;0.356;0.9;0.491291727140784;0.574403815580286;0.422919448153093;0.31581495286696
8;0.683783783783784;0.525;0.643065693430657;0.226269315673289;0.377088948787062;0.279310344827586;0.336342857142857;0.568627450980392;0.469230769230769;0.555325914149444;0.346254264945854;0.260835358623807
9;0.662162162162162;0.775;0.567153284671533;0.205077262693157;0.345822102425876;0.210344827586207;0.270209523809524;0.12156862745098;0.31944847605225;0.541335453100159;0.273861444889482;0.158789542295271
10;0.445945945945946;0.625;0.637226277372263;0.186534216335541;0.242318059299191;0.196551724137931;0.251009523809524;0.13921568627451;0.349637155297533;0.541335453100159;0.284542352766652;0.156530824811828
10;0.489189189189189;0.575;0.637226277372263;0.1;0.173315363881402;0.160689655172414;0.1;0.227450980392157;0.134833091436865;0.213195548489666;0.204079513425308;0.108809522249808
11;0.402702702702703;0.825;0.327737226277372;0.167991169977925;0.209973045822102;0.156551724137931;0.101219047619048;0.305882352941177;0.153410740203193;0.20429252782194;0.263536567274885;0.12313220179099
12;0.208108108108108;0.6;0.514598540145985;0.438189845474614;0.342587601078167;0.359310344827586;0.105790476190476;0.333333333333333;0.1;0.211923688394277;0.186159323542501;0.195107203920002
1;0.294594594594595;0.85;0.508759124087591;0.455849889624724;0.422371967654987;0.277931034482759;0.117371428571429;0.198039215686275;0.137155297532656;0.182670906200318;0.156490134994808;0.318388108979188
2;0.251351351351351;0.825;0.467883211678832;0.744591611479029;0.630458221024259;0.269655172413793;0.122247619047619;0.223529411764706;0.152249637155298;0.141971383147854;0.139400682391337;0.2173222930437
3;0.208108108108108;0.575;0.432846715328467;0.9;0.755525606469003;0.170344827586207;0.132304761904762;0.272549019607843;0.120899854862119;0.190302066772655;0.181056223112298;0.411351889579635
4;0.402702702702703;0.475;0.754014598540146;0.522958057395144;0.554986522911051;0.1;0.107009523809524;0.186274509803922;0.18011611030479;0.181399046104928;0.298664886515354;0.331248648896517
5;0.489189189189189;0.775;0.806569343065693;0.515011037527594;0.578706199460916;0.182758620689655;0.112495238095238;0.166666666666667;0.175471698113208;0.199205087440382;0.363106364040944;0.334267259732858
6;0.9;0.875;0.9;0.557395143487859;0.9;0.26551724137931;0.106857142857143;0.207843137254902;0.166182873730044;0.103815580286169;0.721154131434505;0.140022796800587
7;0.813513513513514;0.625;0.870802919708029;0.548565121412804;0.828840970350404;0.237931034482759;0.105333333333333;0.196078431372549;0.161538461538462;0.1;0.35800326361074;0.279727879570005
8;0.683783783783784;0.9;0.724817518248175;0.59271523178808;0.785714285714286;0.293103448275862;0.10807619047619;0.26078431372549;0.241654571843251;0.121621621621622;0.212861593235425;0.220650101865014
9;0.683783783783784;0.875;0.637226277372263;0.3719646799117;0.540970350404313;0.182758620689655;0.105333333333333;0.217647058823529;0.166182873730044;0.144515103338633;0.220931612520398;0.1
10;0.489189189189189;0.75;0.54963503649635;0.283664459161148;0.358760107816712;0.178620689655172;0.104571428571429;0.227450980392157;0.14644412191582;0.167408585055644;0.210844088414182;0.105754226906776
